epoch,loss_train,u_err,v_err,p_err
100,1.2461822032928467,0.8393312096595764,0.2212458848953247,0.8673075437545776
200,0.9815580248832703,0.7792844772338867,0.219030499458313,0.8208025097846985
300,0.8767590522766113,0.739077627658844,0.23117168247699738,0.7767896056175232
400,0.7280534505844116,0.6489372849464417,0.21744956076145172,0.7832993865013123
500,0.2965180277824402,0.2662196457386017,0.15334679186344147,0.48723310232162476
600,0.1172507181763649,0.1888243407011032,0.09712523221969604,0.21618080139160156
700,0.07674086093902588,0.183704674243927,0.07598525285720825,0.16235850751399994
800,0.05522249639034271,0.1818300187587738,0.06564055383205414,0.15994508564472198
900,0.04479409009218216,0.1757710725069046,0.059555426239967346,0.1582517921924591
1000,0.04081953689455986,0.16615182161331177,0.057309914380311966,0.15293963253498077
